ANO_MES;TIPO_RECEITA;VALR_TOTAL
201807;ICMS;1363540212,29
201807;IPVA;127470190,75
201807;ITCD;19455347,88
201807;"OUTRAS RECEITAS";67219863,93
201807;"OUTROS TRIBUTOS";51599190,56
201807;PROTEGE;944578,10
201807;"TRANSFERÊNCIAS DA UNIÃO";422,72
