ANO_MES;TIPO_RECEITA;VALR_TOTAL
201809;ICMS;1332249020,21
201809;IPVA;156454633,76
201809;ITCD;38587316,30
201809;"OUTRAS RECEITAS";66289527,57
201809;"OUTROS TRIBUTOS";49361954,20
201809;PROTEGE;846942,23
