ANO_MES;TIPO_RECEITA;VALR_TOTAL
202106;ICMS;1818414684,94
202106;IPVA;109825961,48
202106;ITCD;59758573,51
202106;"OUTRAS RECEITAS";87112376,34
202106;"OUTROS TRIBUTOS";72618422,01
202106;PROTEGE;49922916,98
