ANO_MES;TIPO_RECEITA;VALR_TOTAL
201804;ICMS;1281493824,19
201804;IPVA;122522255,20
201804;ITCD;21001970,87
201804;"OUTRAS RECEITAS";88422166,94
201804;"OUTROS TRIBUTOS";50434230,51
201804;PROTEGE;936418,83
